Date,Narration,Withdrawal,Deposit,Balance,Category
01-10-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,226408,Income
02-10-2025,NEFT DR-RENT-PROP MGMT,22000,,204408,Housing
03-10-2025,ACH DR-HDFC HOME LOAN EMI,28500,,175908,EMI
05-10-2025,ACH DR-SBI MF SIP GROWTH,10000,,165908,Investments
07-10-2025,BILLPAY-CREDIT CARD HDFC,20042,,145866,Bills
08-10-2025,UPI/NETFLIX.COM,649,,145217,Entertainment
08-10-2025,UPI/SPOTIFY,119,,145098,Entertainment
10-10-2025,UPI/HOSPITAL,3070,,142028,Health
10-10-2025,UPI/HOSPITAL,3328,,138700,Health
10-10-2025,UPI/UBER TRIP,248,,138452,Transport
11-10-2025,UPI/FLIPKART,1717,,136735,Shopping
11-10-2025,UPI/RELIANCE FRESH,1013,,135722,Groceries
12-10-2025,BESCOM ELECTRICITY BILL,1682,,134040,Utilities
12-10-2025,UPI/DOMINOS,800,,133240,Food
14-10-2025,UPI/ZOMATO,215,,133025,Food
15-10-2025,UPI/JIO PREPAID RECHARGE,749,,132276,Utilities
16-10-2025,UPI/AMAZON PAY,757,,131519,Shopping
16-10-2025,UPI/MCDONALDS,401,,131118,Food
17-10-2025,UPI/AMAZON PAY,2032,,129086,Shopping
17-10-2025,UPI/FLIPKART,2067,,127019,Shopping
17-10-2025,UPI/HOSPITAL,1965,,125054,Health
19-10-2025,UPI/SWIGGY,315,,124739,Food
20-10-2025,UPI/FLIPKART,3530,,121209,Shopping
22-10-2025,UPI/AMAZON PAY GIFTS,7404,,113805,Shopping
22-10-2025,UPI/DOMINOS,651,,113154,Food
22-10-2025,UPI/FLIPKART,5486,,107668,Shopping
23-10-2025,UPI/BIGBASKET,1391,,106277,Groceries
23-10-2025,UPI/UBER TRIP,298,,105979,Transport
24-10-2025,UPI/BIGBASKET,1160,,104819,Groceries
24-10-2025,UPI/DMART,1909,,102910,Groceries
24-10-2025,UPI/DOMINOS,593,,102317,Food
24-10-2025,UPI/FLIPKART,1018,,101299,Shopping
24-10-2025,UPI/RAPIDO,169,,101130,Transport
24-10-2025,UPI/SWIGGY,375,,100755,Food
25-10-2025,UPI/BLINKIT,705,,100050,Groceries
25-10-2025,UPI/CAFE COFFEE DAY,232,,99818,Food
25-10-2025,UPI/MYNTRA,2492,,97326,Shopping
25-10-2025,UPI/ZOMATO,567,,96759,Food
26-10-2025,UPI/ZOMATO,484,,96275,Food
27-10-2025,UPI/FLIPKART,1035,,95240,Shopping
27-10-2025,UPI/RELIANCE FRESH,891,,94349,Groceries
28-10-2025,UPI/CAFE COFFEE DAY,290,,94059,Food
30-10-2025,UPI/AMAZON PAY,1609,,92450,Shopping
30-10-2025,UPI/BLINKIT,919,,91531,Groceries
31-10-2025,UPI/MCDONALDS,372,,91159,Food
31-10-2025,UPI/RELIANCE FRESH,984,,90175,Groceries
31-10-2025,UPI/ZOMATO,251,,89924,Food
31-10-2025,UPI/ZOMATO,386,,89538,Food
01-11-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,214538,Income
02-11-2025,NEFT DR-RENT-PROP MGMT,22000,,192538,Housing
03-11-2025,ACH DR-HDFC HOME LOAN EMI,28500,,164038,EMI
05-11-2025,ACH DR-SBI MF SIP GROWTH,10000,,154038,Investments
07-11-2025,BILLPAY-CREDIT CARD HDFC,22429,,131609,Bills
08-11-2025,UPI/NETFLIX.COM,649,,130960,Entertainment
08-11-2025,UPI/SPOTIFY,119,,130841,Entertainment
10-11-2025,UPI/CAFE COFFEE DAY,330,,130511,Food
11-11-2025,UPI/MYNTRA,1737,,128774,Shopping
12-11-2025,BESCOM ELECTRICITY BILL,1503,,127271,Utilities
12-11-2025,UPI/APOLLO PHARMACY,443,,126828,Health
12-11-2025,UPI/BLINKIT,833,,125995,Groceries
13-11-2025,UPI/BLINKIT,927,,125068,Groceries
14-11-2025,UPI/FLIPKART,2952,,122116,Shopping
15-11-2025,UPI/BIGBASKET,3405,,118711,Groceries
15-11-2025,UPI/CAFE COFFEE DAY,134,,118577,Food
15-11-2025,UPI/JIO PREPAID RECHARGE,749,,117828,Utilities
16-11-2025,UPI/MCDONALDS,313,,117515,Food
17-11-2025,UPI/SWIGGY,274,,117241,Food
18-11-2025,UPI/CAFE COFFEE DAY,331,,116910,Food
18-11-2025,UPI/CAFE COFFEE DAY,354,,116556,Food
20-11-2025,UPI/CAFE COFFEE DAY,179,,116377,Food
20-11-2025,UPI/DOMINOS,769,,115608,Food
20-11-2025,UPI/MYNTRA,834,,114774,Shopping
21-11-2025,UPI/APOLLO PHARMACY,988,,113786,Health
21-11-2025,UPI/DMART,886,,112900,Groceries
21-11-2025,UPI/FLIPKART,972,,111928,Shopping
21-11-2025,UPI/SWIGGY,285,,111643,Food
22-11-2025,UPI/AMAZON PAY GIFTS,2928,,108715,Shopping
22-11-2025,UPI/RELIANCE FRESH,1436,,107279,Groceries
24-11-2025,UPI/RAPIDO,122,,107157,Transport
25-11-2025,UPI/FLIPKART,1170,,105987,Shopping
25-11-2025,UPI/MYNTRA,2055,,103932,Shopping
25-11-2025,UPI/RAPIDO,160,,103772,Transport
25-11-2025,UPI/ZOMATO,602,,103170,Food
26-11-2025,UPI/MYNTRA,3407,,99763,Shopping
26-11-2025,UPI/UBER TRIP,433,,99330,Transport
28-11-2025,UPI/BIGBASKET,869,,98461,Groceries
28-11-2025,UPI/DMART,2058,,96403,Groceries
28-11-2025,UPI/MCDONALDS,382,,96021,Food
28-11-2025,UPI/MYNTRA,1525,,94496,Shopping
29-11-2025,UPI/DMART,2353,,92143,Groceries
29-11-2025,UPI/FLIPKART,4964,,87179,Shopping
29-11-2025,UPI/SWIGGY,252,,86927,Food
29-11-2025,UPI/UBER TRIP,351,,86576,Transport
30-11-2025,UPI/FLIPKART,5415,,81161,Shopping
30-11-2025,UPI/SWIGGY,381,,80780,Food
30-11-2025,UPI/SWIGGY,199,,80581,Food
01-12-2025,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,205581,Income
02-12-2025,NEFT DR-RENT-PROP MGMT,22000,,183581,Housing
03-12-2025,ACH DR-HDFC HOME LOAN EMI,28500,,155081,EMI
05-12-2025,ACH DR-SBI MF SIP GROWTH,10000,,145081,Investments
07-12-2025,BILLPAY-CREDIT CARD HDFC,19002,,126079,Bills
08-12-2025,UPI/NETFLIX.COM,649,,125430,Entertainment
08-12-2025,UPI/SPOTIFY,119,,125311,Entertainment
10-12-2025,UPI/DMART,2128,,123183,Groceries
12-12-2025,BESCOM ELECTRICITY BILL,1668,,121515,Utilities
13-12-2025,UPI/DMART,2415,,119100,Groceries
13-12-2025,UPI/DOMINOS,759,,118341,Food
13-12-2025,UPI/FLIPKART,5039,,113302,Shopping
13-12-2025,UPI/RELIANCE FRESH,1360,,111942,Groceries
13-12-2025,UPI/PETROL PUMP HP,2395,,109547,Transport
13-12-2025,UPI/ZOMATO,633,,108914,Food
15-12-2025,UPI/JIO PREPAID RECHARGE,749,,108165,Utilities
16-12-2025,UPI/ZOMATO,330,,107835,Food
17-12-2025,UPI/AMAZON PAY,974,,106861,Shopping
17-12-2025,UPI/DMART,1330,,105531,Groceries
18-12-2025,NEFT DR-INSURANCE LIC PREMIUM,5200,,100331,EMI
18-12-2025,UPI/AMAZON PAY,4264,,96067,Shopping
18-12-2025,UPI/APOLLO PHARMACY,843,,95224,Health
18-12-2025,UPI/BLINKIT,341,,94883,Groceries
18-12-2025,UPI/CAFE COFFEE DAY,206,,94677,Food
18-12-2025,UPI/CAFE COFFEE DAY,323,,94354,Food
19-12-2025,UPI/HOSPITAL,2206,,92148,Health
19-12-2025,UPI/MYNTRA,2067,,90081,Shopping
19-12-2025,UPI/SWIGGY,284,,89797,Food
19-12-2025,UPI/ZOMATO,598,,89199,Food
20-12-2025,UPI/FLIPKART,1596,,87603,Shopping
20-12-2025,UPI/MCDONALDS,273,,87330,Food
23-12-2025,UPI/DOMINOS,898,,86432,Food
24-12-2025,IMPS CR-FREELANCE CLIENT,,15030,101462,Income
24-12-2025,IRCTC TICKET BOOKING,1878,,99584,Transport
24-12-2025,UPI/CAFE COFFEE DAY,342,,99242,Food
24-12-2025,UPI/HOSPITAL,1392,,97850,Health
25-12-2025,UPI/DOMINOS,654,,97196,Food
25-12-2025,UPI/FLIPKART,1000,,96196,Shopping
25-12-2025,UPI/RESTAURANT XMAS,4200,,91996,Food
25-12-2025,UPI/ZOMATO,588,,91408,Food
27-12-2025,UPI/APOLLO PHARMACY,229,,91179,Health
27-12-2025,UPI/BIGBASKET,1589,,89590,Groceries
28-12-2025,UPI/AMAZON PAY,4297,,85293,Shopping
29-12-2025,UPI/RAPIDO,75,,85218,Transport
29-12-2025,UPI/PETROL PUMP HP,1440,,83778,Transport
30-12-2025,UPI/BLINKIT,1082,,82696,Groceries
31-12-2025,UPI/MYNTRA,945,,81751,Shopping
01-01-2026,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,206751,Income
02-01-2026,NEFT DR-RENT-PROP MGMT,22000,,184751,Housing
03-01-2026,ACH DR-HDFC HOME LOAN EMI,28500,,156251,EMI
05-01-2026,ACH DR-SBI MF SIP GROWTH,10000,,146251,Investments
07-01-2026,BILLPAY-CREDIT CARD HDFC,18719,,127532,Bills
08-01-2026,UPI/NETFLIX.COM,649,,126883,Entertainment
08-01-2026,UPI/SPOTIFY,119,,126764,Entertainment
10-01-2026,UPI/RAPIDO,134,,126630,Transport
11-01-2026,UPI/HOSPITAL,1063,,125567,Health
12-01-2026,BESCOM ELECTRICITY BILL,1172,,124395,Utilities
12-01-2026,UPI/BIGBASKET,1418,,122977,Groceries
12-01-2026,UPI/CAFE COFFEE DAY,287,,122690,Food
14-01-2026,UPI/DOMINOS,389,,122301,Food
15-01-2026,UPI/BIGBASKET,2070,,120231,Groceries
15-01-2026,UPI/JIO PREPAID RECHARGE,749,,119482,Utilities
18-01-2026,UPI/RELIANCE FRESH,600,,118882,Groceries
18-01-2026,UPI/ZOMATO,673,,118209,Food
19-01-2026,UPI/CAFE COFFEE DAY,316,,117893,Food
19-01-2026,UPI/FLIPKART,4178,,113715,Shopping
19-01-2026,UPI/MCDONALDS,304,,113411,Food
19-01-2026,UPI/ZOMATO,557,,112854,Food
20-01-2026,UPI/AMAZON PAY,2147,,110707,Shopping
20-01-2026,UPI/FLIPKART,4219,,106488,Shopping
20-01-2026,UPI/RELIANCE FRESH,1064,,105424,Groceries
20-01-2026,UPI/PETROL PUMP HP,732,,104692,Transport
23-01-2026,UPI/ZOMATO,269,,104423,Food
25-01-2026,UPI/AMAZON PAY,1892,,102531,Shopping
25-01-2026,UPI/UBER TRIP,326,,102205,Transport
26-01-2026,UPI/DOMINOS,647,,101558,Food
26-01-2026,UPI/REPUBLIC DAY OUTING,1950,,99608,Food
27-01-2026,UPI/RAPIDO,50,,99558,Transport
30-01-2026,UPI/RELIANCE FRESH,1296,,98262,Groceries
30-01-2026,UPI/ZOMATO,289,,97973,Food
31-01-2026,UPI/BIGBASKET,3018,,94955,Groceries
31-01-2026,UPI/MCDONALDS,431,,94524,Food
01-02-2026,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,219524,Income
02-02-2026,NEFT DR-RENT-PROP MGMT,22000,,197524,Housing
03-02-2026,ACH DR-HDFC HOME LOAN EMI,28500,,169024,EMI
05-02-2026,ACH DR-SBI MF SIP GROWTH,10000,,159024,Investments
07-02-2026,BILLPAY-CREDIT CARD HDFC,16667,,142357,Bills
08-02-2026,UPI/NETFLIX.COM,649,,141708,Entertainment
08-02-2026,UPI/SPOTIFY,119,,141589,Entertainment
10-02-2026,UPI/DMART,1151,,140438,Groceries
12-02-2026,BESCOM ELECTRICITY BILL,1373,,139065,Utilities
12-02-2026,UPI/BLINKIT,549,,138516,Groceries
12-02-2026,UPI/CAFE COFFEE DAY,183,,138333,Food
14-02-2026,ATM WDL-XXXX1234,4460,,133873,General
14-02-2026,UPI/MCDONALDS,475,,133398,Food
14-02-2026,UPI/RAPIDO,112,,133286,Transport
14-02-2026,UPI/RELIANCE FRESH,891,,132395,Groceries
14-02-2026,UPI/VALENTINE DINNER,3600,,128795,Food
15-02-2026,UPI/JIO PREPAID RECHARGE,749,,128046,Utilities
16-02-2026,UPI/FLIPKART,5896,,122150,Shopping
16-02-2026,UPI/RELIANCE FRESH,1414,,120736,Groceries
17-02-2026,UPI/MCDONALDS,398,,120338,Food
20-02-2026,UPI/RELIANCE FRESH,1428,,118910,Groceries
21-02-2026,UPI/FLIPKART,2395,,116515,Shopping
22-02-2026,UPI/MYNTRA,2029,,114486,Shopping
24-02-2026,UPI/SWIGGY,625,,113861,Food
24-02-2026,UPI/PETROL PUMP HP,699,,113162,Transport
24-02-2026,UPI/ZOMATO,531,,112631,Food
25-02-2026,ATM WDL-XXXX1234,6231,,106400,General
25-02-2026,UPI/CAFE COFFEE DAY,154,,106246,Food
25-02-2026,UPI/CAFE COFFEE DAY,394,,105852,Food
25-02-2026,UPI/ZOMATO,760,,105092,Food
26-02-2026,UPI/DOMINOS,738,,104354,Food
27-02-2026,UPI/DOMINOS,358,,103996,Food
28-02-2026,ATM WDL-XXXX1234,3992,,100004,General
28-02-2026,UPI/AMAZON PAY,2032,,97972,Shopping
28-02-2026,UPI/DMART,1834,,96138,Groceries
01-03-2026,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,221138,Income
02-03-2026,NEFT DR-RENT-PROP MGMT,22000,,199138,Housing
03-03-2026,ACH DR-HDFC HOME LOAN EMI,28500,,170638,EMI
05-03-2026,ACH DR-SBI MF SIP GROWTH,10000,,160638,Investments
07-03-2026,BILLPAY-CREDIT CARD HDFC,16264,,144374,Bills
08-03-2026,UPI/NETFLIX.COM,649,,143725,Entertainment
08-03-2026,UPI/SPOTIFY,119,,143606,Entertainment
10-03-2026,UPI/DOMINOS,375,,143231,Food
12-03-2026,BESCOM ELECTRICITY BILL,1176,,142055,Utilities
12-03-2026,UPI/AMAZON PAY,2267,,139788,Shopping
13-03-2026,UPI/CAFE COFFEE DAY,333,,139455,Food
14-03-2026,UPI/RELIANCE FRESH,669,,138786,Groceries
15-03-2026,UPI/BLINKIT,458,,138328,Groceries
15-03-2026,UPI/JIO PREPAID RECHARGE,749,,137579,Utilities
16-03-2026,IMPS CR-FREELANCE CLIENT,,17106,154685,Income
17-03-2026,UPI/DOMINOS,761,,153924,Food
17-03-2026,UPI/SWIGGY,477,,153447,Food
18-03-2026,NEFT DR-INSURANCE LIC PREMIUM,5200,,148247,EMI
18-03-2026,UPI/CAFE COFFEE DAY,215,,148032,Food
19-03-2026,UPI/BIGBASKET,1768,,146264,Groceries
19-03-2026,UPI/FLIPKART,4259,,142005,Shopping
20-03-2026,NEFT DR-INCOME TAX ADVANCE,25000,,117005,Tax
20-03-2026,UPI/CAFE COFFEE DAY,296,,116709,Food
24-03-2026,UPI/RAPIDO,159,,116550,Transport
24-03-2026,UPI/SWIGGY,258,,116292,Food
25-03-2026,UPI/APOLLO PHARMACY,262,,116030,Health
27-03-2026,UPI/CAFE COFFEE DAY,130,,115900,Food
28-03-2026,UPI/FLIPKART,2215,,113685,Shopping
28-03-2026,UPI/RAPIDO,85,,113600,Transport
28-03-2026,UPI/RELIANCE FRESH,1150,,112450,Groceries
28-03-2026,UPI/RELIANCE FRESH,557,,111893,Groceries
29-03-2026,UPI/RELIANCE FRESH,1151,,110742,Groceries
30-03-2026,UPI/CAFE COFFEE DAY,142,,110600,Food
30-03-2026,UPI/FLIPKART,1971,,108629,Shopping
31-03-2026,ATM WDL-XXXX1234,4375,,104254,General
31-03-2026,UPI/DOMINOS,823,,103431,Food
31-03-2026,UPI/FLIPKART,651,,102780,Shopping
01-04-2026,NEFT CR-SALARY-ACME TECH PVT LTD,,125000,227780,Income
02-04-2026,NEFT DR-RENT-PROP MGMT,22000,,205780,Housing
03-04-2026,ACH DR-HDFC HOME LOAN EMI,28500,,177280,EMI
05-04-2026,ACH DR-SBI MF SIP GROWTH,10000,,167280,Investments
07-04-2026,BILLPAY-CREDIT CARD HDFC,21104,,146176,Bills
08-04-2026,UPI/NETFLIX.COM,649,,145527,Entertainment
08-04-2026,UPI/SPOTIFY,119,,145408,Entertainment
